cod,age,gender
sub-10171,24,M
sub-10189,49,M
sub-10206,21,M
sub-10217,33,F
sub-10225,35,M
sub-10227,31,F
sub-10228,40,F
sub-10235,22,M
sub-10269,38,M
sub-10271,41,F
sub-10273,30,F
sub-10274,43,M
sub-10280,27,M
sub-10290,48,M
sub-10292,49,M
sub-10304,23,F
sub-10316,29,M
sub-10321,34,M
sub-10325,29,F
sub-10329,22,M
sub-10339,45,F
sub-10340,32,M
sub-10345,25,M
sub-10347,25,F
sub-10356,43,F
sub-10361,42,F
sub-10376,42,F
sub-10377,49,M
sub-10388,50,F
sub-10429,36,F
sub-10438,25,M
sub-10440,26,F
sub-10448,37,M
sub-10455,25,M
sub-10460,40,M
sub-10471,30,F
sub-10478,21,F
sub-10487,31,M
sub-10492,22,F
sub-10506,25,M
sub-10517,21,F
sub-10523,24,M
sub-10524,46,F
sub-10525,24,M
sub-10527,24,M
sub-10530,23,M
sub-10557,26,M
sub-10565,25,F
sub-10570,32,F
sub-10575,23,M
sub-50004,37,M
sub-50005,40,M
sub-50006,44,F
sub-50007,47,F
sub-50008,48,M
sub-50010,41,M
sub-50013,30,M
sub-50014,22,M
sub-50015,23,M
sub-50020,25,M
sub-50021,41,F
sub-50023,49,F
sub-50025,48,M
sub-50027,30,F
sub-50029,49,F
sub-50032,28,M
sub-50033,43,M
sub-50034,43,M
sub-50035,29,F
sub-50036,32,M
sub-50038,26,F
sub-50043,40,M
sub-50047,44,M
sub-50048,43,M
sub-50049,37,F
sub-50050,23,M
sub-50051,37,M
sub-50052,45,M
sub-50053,47,M
sub-50054,23,M
sub-50055,23,M
sub-50056,49,F
sub-50059,39,M
sub-50060,41,M
sub-50061,48,M
sub-50064,31,F
sub-50066,33,M
sub-50067,25,M
sub-50069,23,M
sub-50075,33,M
sub-50076,42,M
sub-50077,29,M
sub-50080,29,M
sub-50081,32,M
sub-50083,40,M
sub-50085,25,M
