"A","label","zscore","subclass"
0,1,0.178326510785676,"3"
0,1,0.25396027033395,"4"
0,1,0.928581228074442,"5"
0,1,0.0836961367713526,"3"
0,1,0.0209486160093251,"2"
0,1,0.22397811540973,"4"
1,1,0.0079429606781805,"1"
0,1,0.102747467733401,"3"
0,1,0.267431606961325,"4"
0,1,0.259057775347492,"4"
0,1,0.167326087176931,"3"
0,1,0.238678346131585,"4"
1,1,0.573509101212405,"5"
1,1,0.00129744276820474,"1"
0,1,0.221503525384321,"4"
0,1,0.442592447126746,"5"
0,1,0.303590532253803,"4"
0,1,0.371981543030828,"4"
0,1,0.0909559476976255,"3"
0,1,0.197642821363361,"4"
0,1,0.0607030216092521,"3"
1,1,0.288350948225655,"4"
0,1,0.0462525138275809,"2"
0,1,0.478192107089511,"5"
0,1,0.0130009595540393,"1"
0,1,0.0435745421914797,"2"
0,1,0.00179799896397413,"1"
0,1,0.0423089702497876,"2"
0,1,0.00133896082788091,"1"
0,1,0.0211570083183684,"2"
0,1,0.849837397510874,"5"
0,1,0.0580911388514669,"3"
1,1,0.47992002908282,"5"
0,1,0.684127219313633,"5"
0,1,0.00330188410242362,"1"
1,1,0.529521579777117,"5"
0,1,0.0512291711861637,"2"
0,1,0.779005686830195,"5"
0,1,0.39987943835674,"5"
0,1,0.239513977154051,"4"
0,1,0.680399415700004,"5"
0,1,0.825829439158931,"5"
0,1,0.00348067054215974,"1"
0,1,0.4716119629811,"5"
0,1,0.149703905485454,"3"
0,1,0.847196197154621,"5"
0,1,0.165631315102417,"3"
0,1,0.0965028157357811,"3"
0,1,0.0227582919852448,"2"
0,1,0.225751797180638,"4"
0,0,0.560974896964828,"5"
0,0,0.0254490397874881,"2"
0,0,0.00602757646734263,"1"
0,0,0.265252386489917,"4"
0,0,0.048858980837915,"2"
0,0,0.242112724072079,"4"
1,0,0.175378338716205,"3"
0,0,0.200219180914629,"4"
0,0,0.652899483967952,"5"
0,0,0.15776913592939,"3"
0,0,0.0184494578526854,"2"
0,0,0.0315149777628979,"2"
0,0,0.23107994819612,"4"
0,0,0.0133579329732655,"1"
0,0,0.0236778970728794,"2"
1,0,0.780610784516345,"5"
0,0,0.0287903224768307,"2"
0,0,0.00715776065039256,"1"
0,0,0.064509070422585,"3"
0,0,0.00936782648707697,"1"
0,0,0.079162793230237,"3"
0,0,0.0921478434956612,"3"
0,0,0.000347527160854678,"1"
0,0,0.0249761598910062,"2"
1,0,0.101449056841888,"3"
0,0,0.0720343920419653,"3"
0,0,0.0122513016329098,"1"
0,0,0.00147118857574485,"1"
1,0,0.198691122235947,"4"
1,0,0.45348855358809,"5"
1,0,0.442738302311753,"5"
0,0,0.0280272299570568,"2"
0,0,0.0222935423335001,"2"
0,0,0.0174364663886238,"2"
0,0,0.00723710741446498,"1"
0,0,0.070470804239903,"3"
0,0,0.0501981383800518,"2"
0,0,0.00890593088146013,"1"
0,0,0.038178992993634,"2"
0,0,0.0166399450537398,"1"
0,0,0.0111277666193322,"1"
0,0,0.257594827379104,"4"
0,0,0.011271405138114,"1"
0,0,0.181695154522141,"3"
0,0,0.0040397970733365,"1"
0,0,0.252666929212369,"4"
